concept_id,block,chosen_source,matched_title_or_gloss,match_score,attribution_url,note
letter-t,letter,signbank,LETTER-T,2,https://aslsignbank.com/dictionary/gloss/1658.html,
letter-u,letter,signbank,LETTER-U,2,https://aslsignbank.com/dictionary/gloss/1657.html,
letter-v,letter,signbank,LETTER-V,2,https://aslsignbank.com/dictionary/gloss/1656.html,
letter-w,letter,signbank,LETTER-W,2,https://aslsignbank.com/dictionary/gloss/1655.html,
letter-x,letter,signbank,LETTER-X,2,https://aslsignbank.com/dictionary/gloss/1654.html,
letter-y,letter,signbank,LETTER-Y,2,https://aslsignbank.com/dictionary/gloss/1653.html,
letter-z,letter,signbank,LETTER-Z,2,https://aslsignbank.com/dictionary/gloss/1652.html,
digit-0,digit,signbank,ZERO,2,https://aslsignbank.com/dictionary/gloss/1478.html,
digit-1,digit,signbank,ONE,2,https://aslsignbank.com/dictionary/gloss/519.html,
digit-2,digit,signbank,TWO,2,https://aslsignbank.com/dictionary/gloss/1336.html,
digit-3,digit,signbank,THREE,2,https://aslsignbank.com/dictionary/gloss/1216.html,
digit-4,digit,signbank,FOUR,2,https://aslsignbank.com/dictionary/gloss/461.html,
digit-5,digit,signbank,FIVE,2,https://aslsignbank.com/dictionary/gloss/459.html,
digit-6,digit,signbank,SIX,2,https://aslsignbank.com/dictionary/gloss/603.html,
digit-7,digit,signbank,SEVEN,2,https://aslsignbank.com/dictionary/gloss/641.html,
digit-8,digit,signbank,EIGHT,2,https://aslsignbank.com/dictionary/gloss/635.html,
digit-9,digit,signbank,NINE,2,https://aslsignbank.com/dictionary/gloss/1570.html,
